seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
6,42,True,2278,405,0,0.0,0.7096774193548387,0.2903225806451613,0.3870967741935484,0.6129032258064516,,,,,,,,,,
6,43,True,7723,9367,0,0.0,0.064516129032258,0.064516129032258,0.1612903225806451,0.1290322580645161,,,,,,,,,,
6,44,True,7714,14922,0,0.0,0.2258064516129032,0.032258064516129,0.032258064516129,0.1290322580645161,,,,,,,,,,
6,45,True,685,29,0,0.0,0.1290322580645161,0.1612903225806451,0.5161290322580645,0.6129032258064516,,,,,,,,,,
6,46,True,545,36,0,0.0,0.7096774193548387,0.8064516129032258,0.1612903225806451,0.3548387096774194,,,,,,,,,,
6,47,True,2553,833,0,0.0,0.3870967741935484,0.2258064516129032,0.5806451612903226,0.4516129032258064,,,,,,,,,,
6,48,True,678,102,0,0.0,0.6774193548387096,0.5806451612903226,0.5806451612903226,0.3548387096774194,,,,,,,,,,
6,49,True,227,26,0,0.0,0.8387096774193549,1.0,0.7741935483870968,0.1290322580645161,,,,,,,,,,
6,50,True,414,22,0,0.0,0.4838709677419355,0.6129032258064516,0.935483870967742,0.2903225806451613,,,,,,,,,,
6,51,True,2322,203,0,0.0,0.0967741935483871,0.935483870967742,0.1935483870967742,0.7096774193548387,,,,,,,,,,
6,52,True,15,1,0,0.0,1.0,0.5161290322580645,0.7096774193548387,0.6129032258064516,,,,,,,,,,
6,53,True,1099,101,0,0.0,0.8709677419354839,0.3225806451612903,0.5806451612903226,0.064516129032258,,,,,,,,,,
6,54,True,274,5,0,0.0,0.7096774193548387,0.3548387096774194,0.0967741935483871,0.8709677419354839,,,,,,,,,,
6,55,True,17,1,0,0.0,0.7741935483870968,0.8387096774193549,0.064516129032258,0.0,,,,,,,,,,
6,56,True,152,1,0,0.0,0.2903225806451613,0.5161290322580645,0.5806451612903226,0.4838709677419355,,,,,,,,,,
6,57,True,1509,128,0,0.0,0.4838709677419355,0.1935483870967742,0.2258064516129032,0.4516129032258064,,,,,,,,,,
6,58,True,3241,1340,0,0.0,0.3225806451612903,0.0967741935483871,0.935483870967742,0.3870967741935484,,,,,,,,,,
6,59,True,324,7,0,0.0,0.935483870967742,0.8064516129032258,0.1935483870967742,0.9032258064516128,,,,,,,,,,
