seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,22,True,480,25,0,0.0,0.7,0.3,0.55,0.4,1.0,0.225,,,,,,,,,,,,,,
0,23,True,1825,528,0,0.0,0.4,1.0,0.0,0.05,0.15,0.1,,,,,,,,,,,,,,
0,24,True,623,8,0,0.0,0.2,0.7,0.7,1.0,0.4,0.05,,,,,,,,,,,,,,
0,25,True,280,4,0,0.0,0.1,0.5,0.6,0.1,0.55,0.35,,,,,,,,,,,,,,
0,26,True,177,3,0,0.0,0.75,0.3,0.35,0.5,1.0,0.475,,,,,,,,,,,,,,
0,27,True,101,3,0,0.0,0.55,0.95,0.6,0.35,0.0,0.325,,,,,,,,,,,,,,
0,28,True,2325,339,0,0.0,0.0,0.05,0.25,0.6,0.75,0.4,,,,,,,,,,,,,,
0,29,True,156,6,0,0.0,0.35,0.75,0.65,0.45,0.15,0.45,,,,,,,,,,,,,,
0,30,True,337,36,0,0.0,0.9,0.3,0.85,0.05,1.0,0.0,,,,,,,,,,,,,,
0,31,True,1280,249,0,0.0,0.7,0.35,0.05,0.85,0.7,0.2,,,,,,,,,,,,,,
0,32,True,485,59,0,0.0,1.0,0.85,0.85,0.0,0.3,0.475,,,,,,,,,,,,,,
0,33,True,469,47,0,0.0,0.95,0.0,0.95,0.9,0.25,0.05,,,,,,,,,,,,,,
0,34,True,59,1,0,0.0,0.95,1.0,0.2,0.85,0.25,0.075,,,,,,,,,,,,,,
0,35,True,255,10,0,0.0,0.3,0.6,0.45,0.8,0.8,0.375,,,,,,,,,,,,,,
0,36,True,1440,124,0,0.0,0.0,0.55,0.3,0.3,0.7,0.075,,,,,,,,,,,,,,
0,37,True,354,22,0,0.0,0.85,0.5,0.55,0.85,0.3,0.5,,,,,,,,,,,,,,
0,38,True,755,18,0,0.0,0.55,0.75,0.05,0.95,0.65,0.25,,,,,,,,,,,,,,
0,39,True,1148,79,0,0.0,0.15,0.9,0.45,0.3,0.95,0.35,,,,,,,,,,,,,,
0,40,True,1999,346,0,0.0,0.75,0.15,0.55,0.6,0.25,0.375,,,,,,,,,,,,,,
0,41,True,532,83,0,0.0,0.55,0.55,1.0,0.25,0.95,0.075,,,,,,,,,,,,,,
0,42,True,489,12,0,0.0,0.25,0.65,0.2,0.95,0.85,0.225,,,,,,,,,,,,,,
0,43,True,263,4,0,0.0,0.05,0.8,0.8,0.65,0.0,0.225,,,,,,,,,,,,,,
0,44,True,1714,78,0,0.0,0.0,0.6,0.55,0.4,0.15,0.225,,,,,,,,,,,,,,
0,45,True,593,33,0,0.0,0.75,0.6,0.05,0.4,0.1,0.475,,,,,,,,,,,,,,
