founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
43,False,,3,2,0.0023148148148148147,0.05,0.8,0.8,0.65,0.0,0.225,0.05,0.0,0.8,0.0,0.8,0.0,0.65,0.0,0.0,0.0,0.225,0.0,0.5,1
44,False,,7,5,0.005787037037037037,0.0,0.6,0.55,0.4,0.15,0.225,0.0,0.0,0.6,0.0,0.55,0.0,0.4,0.0,0.15,0.0,0.225,0.0,1.6,3
45,False,,20,13,0.015046296296296295,0.75,0.6,0.05,0.4,0.1,0.475,0.75,0.0,0.6038461538461537,0.013323467750529836,0.05000000000000001,6.938893903907228e-18,0.4000000000000001,5.551115123125783e-17,0.10384615384615387,0.01332346775052982,0.47499999999999987,1.1102230246251565e-16,3.230769230769231,5
46,False,,5,2,0.0023148148148148147,0.65,0.6,0.6,0.4,0.55,0.075,0.65,0.0,0.6,0.0,0.6,0.0,0.4,0.0,0.55,0.0,0.075,0.0,0.5,1
47,False,,5,2,0.0023148148148148147,0.6,0.8,0.35,0.55,0.8,0.05,0.6,0.0,0.8,0.0,0.35,0.0,0.575,0.024999999999999967,0.8,0.0,0.05,0.0,0.5,1
48,False,,11,10,0.011574074074074073,1.0,0.15,0.6,1.0,0.5,0.175,0.975,0.051234753829797995,0.15999999999999998,0.020000000000000007,0.595,0.01499999999999998,0.9899999999999999,0.020000000000000018,0.495,0.014999999999999996,0.18,0.015000000000000008,1.4,2
49,False,,19,14,0.016203703703703703,0.55,0.9,0.1,0.25,0.2,0.425,0.5499999999999999,1.1102230246251565e-16,0.9000000000000001,1.1102230246251565e-16,0.10000000000000002,1.3877787807814457e-17,0.24642857142857144,0.022868300847974456,0.19642857142857145,0.01287696884094282,0.4232142857142857,0.0064384844204714,2.642857142857143,4
50,False,,1,1,0.0011574074074074073,0.0,0.3,0.75,1.0,0.85,0.0,0.0,0.0,0.3,0.0,0.75,0.0,1.0,0.0,0.85,0.0,0.0,0.0,0.0,0
51,False,,17,13,0.015046296296296295,0.4,0.5,0.7,0.65,0.15,0.325,0.4000000000000001,5.551115123125783e-17,0.5038461538461538,0.013323467750529838,0.7,0.0,0.6500000000000001,1.1102230246251565e-16,0.14999999999999997,2.7755575615628914e-17,0.32500000000000007,5.551115123125783e-17,1.9230769230769231,3
52,False,,2,1,0.0011574074074074073,0.5,0.35,0.55,0.55,0.55,0.125,0.5,0.0,0.35,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.125,0.0,0.0,0
53,False,,1,1,0.0011574074074074073,0.05,0.3,0.0,0.7,0.45,0.05,0.05,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.45,0.0,0.05,0.0,0.0,0
54,False,,2,2,0.0023148148148148147,0.15,0.2,1.0,0.9,0.25,0.4,0.15,0.0,0.2,0.0,1.0,0.0,0.9,0.0,0.25,0.0,0.4,0.0,0.5,1
55,False,,7,7,0.008101851851851851,0.7,0.75,0.45,0.9,1.0,0.25,0.6928571428571428,0.017496355305594107,0.7214285714285714,0.0699854212223765,0.5,0.06546536707079771,0.8714285714285713,0.024743582965269698,0.9714285714285714,0.0699854212223765,0.25,0.0,1.4285714285714286,2
56,False,,17,10,0.011574074074074073,0.15,0.35,0.85,0.0,0.25,0.075,0.14999999999999997,2.7755575615628914e-17,0.35,0.0,0.8400000000000001,0.019999999999999976,0.01,0.02,0.25,0.0,0.0875,0.012500000000000004,1.7,3
57,False,,11,8,0.009259259259259259,0.5,0.55,0.45,0.65,1.0,0.3,0.5,0.0,0.55,0.0,0.45,0.0,0.65625,0.01653594569415367,1.0,0.0,0.3,0.0,1.375,2
58,False,,3,3,0.003472222222222222,0.4,0.9,0.15,0.55,0.65,0.475,0.4000000000000001,5.551115123125783e-17,0.9,0.0,0.15,0.0,0.55,0.0,0.65,0.0,0.4749999999999999,5.551115123125783e-17,1.0,2
59,False,,3,3,0.003472222222222222,0.35,1.0,0.3,0.4,0.75,0.4,0.3499999999999999,5.551115123125783e-17,1.0,0.0,0.3,0.0,0.4000000000000001,5.551115123125783e-17,0.75,0.0,0.4000000000000001,5.551115123125783e-17,0.6666666666666666,1
60,False,,4,3,0.003472222222222222,0.5,0.6,0.45,0.8,0.15,0.475,0.5,0.0,0.6,0.0,0.45,0.0,0.8000000000000002,1.1102230246251565e-16,0.15,0.0,0.4749999999999999,5.551115123125783e-17,1.0,2
61,False,,13,9,0.010416666666666666,0.55,0.8,0.85,0.65,0.45,0.125,0.55,0.0,0.8,0.023570226039551577,0.8333333333333334,0.047140452079103175,0.6388888888888888,0.031426968052735434,0.4444444444444444,0.015713484026367717,0.12777777777777777,0.00785674201318386,1.4444444444444444,2
62,False,,4,3,0.003472222222222222,0.4,0.95,0.05,0.95,0.35,0.425,0.4000000000000001,5.551115123125783e-17,0.9499999999999998,1.1102230246251565e-16,0.05000000000000001,6.938893903907228e-18,0.9499999999999998,1.1102230246251565e-16,0.3499999999999999,5.551115123125783e-17,0.425,0.0,0.6666666666666666,1
63,False,,40,20,0.023148148148148147,0.55,0.45,0.5,0.2,0.0,0.45,0.5450000000000002,0.015000000000000015,0.4499999999999999,1.1102230246251565e-16,0.5,0.0,0.18,0.024494897427831792,0.0,0.0,0.4499999999999999,1.1102230246251565e-16,2.4,4
64,False,,3,2,0.0023148148148148147,0.85,0.85,0.15,0.9,0.95,0.325,0.85,0.0,0.7,0.14999999999999997,0.3,0.15000000000000002,0.9,0.0,0.875,0.07499999999999996,0.2625,0.0625,0.5,1
65,False,,30,14,0.016203703703703703,0.8,0.5,0.9,0.7,0.85,0.375,0.7714285714285716,0.07726181304565692,0.5107142857142858,0.03863090652282846,0.8821428571428571,0.052123283997594395,0.6785714285714286,0.03113499245386193,0.8499999999999999,1.1102230246251565e-16,0.37321428571428567,0.006438484420471415,2.2857142857142856,4
66,False,,17,12,0.013888888888888888,0.9,0.0,0.5,0.9,0.15,0.35,0.9,0.0,0.0,0.0,0.5,0.0,0.9,0.0,0.14999999999999997,2.7755575615628914e-17,0.35000000000000003,5.551115123125783e-17,1.75,3
67,False,,25,16,0.018518518518518517,0.8,1.0,0.2,0.45,0.45,0.175,0.796875,0.012103072956898187,0.996875,0.012103072956898187,0.2,0.0,0.45,0.017677669529663684,0.45,0.0,0.1796875,0.018154609435347267,2.0625,3
68,False,,6,4,0.004629629629629629,0.6,0.8,0.6,0.4,0.2,0.025,0.6,0.0,0.7875000000000001,0.021650635094610987,0.6,0.0,0.4,0.0,0.2,0.0,0.025,0.0,1.25,2
69,False,,43,31,0.03587962962962963,0.2,0.0,0.2,0.25,0.75,0.025,0.20967741935483875,0.019753949538574015,0.0,0.0,0.20645161290322583,0.016761782008731067,0.2370967741935484,0.025297398615093742,0.75,0.0,0.025806451612903233,0.004417117399235212,1.8387096774193548,3
70,False,,17,9,0.010416666666666666,0.75,0.85,0.95,0.15,0.9,0.45,0.75,0.0,0.85,0.0,0.9277777777777777,0.03424674446093874,0.15,0.0,0.8999999999999999,1.1102230246251565e-16,0.44999999999999996,5.551115123125783e-17,1.4444444444444444,3
71,False,,7,3,0.003472222222222222,0.8,0.15,0.25,0.7,0.6,0.35,0.8000000000000002,1.1102230246251565e-16,0.15,0.0,0.25,0.0,0.6999999999999998,1.1102230246251565e-16,0.6,0.0,0.3499999999999999,5.551115123125783e-17,0.6666666666666666,1
72,False,,7,4,0.004629629629629629,0.85,0.0,0.8,0.7,0.05,0.375,0.85,0.0,0.0,0.0,0.7875000000000001,0.021650635094610987,0.7,0.0,0.05,0.0,0.375,0.0,1.0,2
73,False,,17,15,0.017361111111111112,0.15,0.55,0.6,0.4,0.25,0.225,0.1533333333333333,0.012472191289246476,0.5700000000000001,0.05099019513592781,0.6066666666666667,0.016996731711975965,0.40000000000000013,1.1102230246251565e-16,0.25999999999999995,0.019999999999999997,0.215,0.025495097567963927,1.7333333333333334,3
74,False,,6,6,0.006944444444444444,0.15,0.25,0.2,0.7,0.35,0.45,0.20000000000000004,0.09128709291752769,0.25,0.02886751345948128,0.21666666666666667,0.03726779962499649,0.725,0.055901699437494755,0.35000000000000003,5.551115123125783e-17,0.425,0.055901699437494755,0.8333333333333334,1
